# Version 1.00
#
freq[Hz]	re:Trc2_S22	im:Trc2_S22	
1.000000000000000E+009	4.857711195945740E-001	3.893409967422485E-001	
1.022500000000000E+009	6.169743537902832E-001	3.794414997100830E-001	
1.045000000000000E+009	7.159316539764404E-001	3.299434483051300E-001	
1.067500000000000E+009	7.872157096862793E-001	2.331455349922180E-001	
1.090000000000000E+009	8.444544672966003E-001	1.216428428888321E-001	
1.112500000000000E+009	8.576838970184326E-001	-2.427075617015362E-002	
1.135000000000000E+009	8.253015279769898E-001	-1.883504837751389E-001	
1.157500000000000E+009	7.489715218544006E-001	-3.582537770271301E-001	
1.180000000000000E+009	5.491765737533569E-001	-5.293994545936585E-001	
1.202500000000000E+009	2.562126517295837E-001	-6.067296862602234E-001	
1.225000000000000E+009	-1.050172224640846E-001	-4.882968664169312E-001	
1.247500000000000E+009	-3.465079069137573E-001	-1.461160182952881E-001	
1.270000000000000E+009	-2.953347265720367E-001	2.408138066530228E-001	
1.292500000000000E+009	-8.197722584009171E-002	4.949101805686951E-001	
1.315000000000000E+009	1.618827730417252E-001	5.729161500930786E-001	
1.337500000000000E+009	3.892943263053894E-001	5.494021177291870E-001	
1.360000000000000E+009	5.594067573547363E-001	4.579796791076660E-001	
1.382500000000000E+009	6.859875321388245E-001	2.829920649528503E-001	
1.405000000000000E+009	7.400235533714294E-001	4.294496774673462E-002	
1.427500000000000E+009	5.520073175430298E-001	-3.056809306144714E-001	
1.450000000000000E+009	-1.073133423924446E-001	-2.895468771457672E-001	
1.472500000000000E+009	-1.636565327644348E-001	4.143962562084198E-001	
1.495000000000000E+009	2.000317275524139E-001	6.120637655258179E-001	
1.517500000000000E+009	4.475973546504974E-001	5.729075074195862E-001	
1.540000000000000E+009	5.819665193557739E-001	5.106372833251953E-001	
1.562500000000000E+009	6.594054698944092E-001	4.212559461593628E-001	
1.585000000000000E+009	7.280390262603760E-001	3.534443080425263E-001	
1.607500000000000E+009	7.591866254806519E-001	2.869583070278168E-001	
1.630000000000000E+009	7.786821126937866E-001	2.044559270143509E-001	
1.652500000000000E+009	7.955908179283142E-001	1.722918152809143E-001	
1.675000000000000E+009	8.028576970100403E-001	1.110466122627258E-001	
1.697500000000000E+009	8.058020472526550E-001	5.351420119404793E-002	
1.720000000000000E+009	8.142421841621399E-001	3.616534173488617E-003	
1.742500000000000E+009	7.963501811027527E-001	-4.248270392417908E-002	
1.765000000000000E+009	7.928928732872009E-001	-9.090569615364075E-002	
1.787500000000000E+009	7.798007726669312E-001	-1.299490332603455E-001	
1.810000000000000E+009	7.638449668884277E-001	-1.691305637359619E-001	
1.832500000000000E+009	7.503646016120911E-001	-2.097487449645996E-001	
1.855000000000000E+009	7.299134135246277E-001	-2.434390187263489E-001	
1.877500000000000E+009	6.991952061653137E-001	-2.801983356475830E-001	
1.900000000000000E+009	6.830702424049377E-001	-3.058074712753296E-001	
1.922500000000000E+009	6.593698859214783E-001	-3.373284637928009E-001	
1.945000000000000E+009	6.153538823127747E-001	-3.677290678024292E-001	
1.967500000000000E+009	5.940636992454529E-001	-3.802663981914520E-001	
1.990000000000000E+009	5.556654334068298E-001	-4.039929211139679E-001	
2.012500000000000E+009	5.128858685493469E-001	-4.230115115642548E-001	
2.035000000000000E+009	4.833347797393799E-001	-4.292994737625122E-001	
2.057500000000000E+009	4.290063977241516E-001	-4.376284182071686E-001	
2.080000000000000E+009	3.955681025981903E-001	-4.360164701938629E-001	
2.102500000000000E+009	3.567316234111786E-001	-4.334022402763367E-001	
2.125000000000000E+009	3.197885453701019E-001	-4.155101180076599E-001	
2.147500000000000E+009	2.688108682632446E-001	-4.126832187175751E-001	
2.170000000000000E+009	2.440573275089264E-001	-3.637117445468903E-001	
2.192500000000000E+009	2.117685526609421E-001	-3.428380489349365E-001	
2.215000000000000E+009	2.028836458921433E-001	-3.124147951602936E-001	
2.237500000000000E+009	1.761547625064850E-001	-2.748588025569916E-001	
2.260000000000000E+009	1.710934638977051E-001	-2.295266389846802E-001	
2.282500000000000E+009	1.907645165920258E-001	-2.032806575298309E-001	
2.305000000000000E+009	1.971329599618912E-001	-1.673110276460648E-001	
2.327500000000000E+009	2.047280222177506E-001	-1.615692973136902E-001	
2.350000000000000E+009	2.330950349569321E-001	-1.329600811004639E-001	
2.372500000000000E+009	2.403517663478851E-001	-1.267256438732147E-001	
2.395000000000000E+009	2.626099884510040E-001	-1.307372152805328E-001	
2.417500000000000E+009	2.609565258026123E-001	-1.387795209884644E-001	
2.440000000000000E+009	2.475707232952118E-001	-1.307265162467957E-001	
2.462500000000000E+009	2.480638772249222E-001	-1.303564608097076E-001	
2.485000000000000E+009	2.204428315162659E-001	-1.096896901726723E-001	
2.507500000000000E+009	2.039610445499420E-001	-7.410603761672974E-002	
2.530000000000000E+009	1.875928193330765E-001	-1.813522726297379E-002	
2.552500000000000E+009	2.086477130651474E-001	7.446418702602387E-002	
2.575000000000000E+009	2.685698866844177E-001	1.363180428743362E-001	
2.597500000000000E+009	3.730823993682861E-001	1.847588121891022E-001	
2.620000000000000E+009	4.718766510486603E-001	2.022295892238617E-001	
2.642500000000000E+009	5.765721797943115E-001	1.579092741012573E-001	
2.665000000000000E+009	6.609836220741272E-001	1.100550442934036E-001	
2.687500000000000E+009	7.019709944725037E-001	3.961151093244553E-002	
2.710000000000000E+009	7.401899695396423E-001	-3.443288058042526E-002	
2.732500000000000E+009	7.665598988533020E-001	-8.677230775356293E-002	
2.755000000000000E+009	7.570528984069824E-001	-1.616861820220947E-001	
2.777500000000000E+009	7.713836431503296E-001	-2.166115939617157E-001	
2.800000000000000E+009	7.609515786170960E-001	-2.605062723159790E-001	
2.822500000000000E+009	7.407616376876831E-001	-3.147061467170715E-001	
2.845000000000000E+009	7.412710189819336E-001	-3.548192977905273E-001	
2.867500000000000E+009	7.176024913787842E-001	-3.869706094264984E-001	
2.890000000000000E+009	6.933927536010742E-001	-4.274745881557465E-001	
2.912500000000000E+009	6.900274157524109E-001	-4.492848515510559E-001	
2.935000000000000E+009	6.558643579483032E-001	-4.816124737262726E-001	
2.957500000000000E+009	6.440328955650330E-001	-5.102195739746094E-001	
2.980000000000000E+009	6.272374391555786E-001	-5.259330272674561E-001	
3.002500000000000E+009	5.906540155410767E-001	-5.467003583908081E-001	
3.025000000000000E+009	5.844609737396240E-001	-5.745307207107544E-001	
3.047500000000000E+009	5.557353496551514E-001	-5.830619931221008E-001	
3.070000000000000E+009	5.270158648490906E-001	-6.049543023109436E-001	
3.092500000000000E+009	5.187975764274597E-001	-6.201252937316895E-001	
3.115000000000000E+009	4.852977693080902E-001	-6.267850995063782E-001	
3.137500000000000E+009	4.593901634216309E-001	-6.452999711036682E-001	
3.160000000000000E+009	4.454744458198547E-001	-6.508159637451172E-001	
3.182500000000000E+009	4.115982651710510E-001	-6.515944004058838E-001	
3.205000000000000E+009	3.960680365562439E-001	-6.649489998817444E-001	
3.227500000000000E+009	3.760669231414795E-001	-6.608158349990845E-001	
3.250000000000000E+009	3.404194712638855E-001	-6.627390980720520E-001	
3.272500000000000E+009	3.296631872653961E-001	-6.660027503967285E-001	
3.295000000000000E+009	3.099112212657929E-001	-6.545560956001282E-001	
3.317500000000000E+009	2.809259891510010E-001	-6.604566574096680E-001	
3.340000000000000E+009	2.715774178504944E-001	-6.590538024902344E-001	
3.362500000000000E+009	2.515063881874085E-001	-6.449533700942993E-001	
3.385000000000000E+009	2.334115803241730E-001	-6.474432945251465E-001	
3.407500000000000E+009	2.321738451719284E-001	-6.350246667861939E-001	
3.430000000000000E+009	2.095661163330078E-001	-6.285142302513123E-001	
3.452500000000000E+009	1.993804574012756E-001	-6.236036419868469E-001	
3.475000000000000E+009	2.024560868740082E-001	-6.106513142585754E-001	
3.497500000000000E+009	1.842176467180252E-001	-6.000636816024780E-001	
3.520000000000000E+009	1.959288269281387E-001	-6.002912521362305E-001	
3.542500000000000E+009	1.888103187084198E-001	-5.935729146003723E-001	
3.565000000000000E+009	1.819835752248764E-001	-5.927115082740784E-001	
3.587500000000000E+009	1.911083459854126E-001	-5.900377631187439E-001	
3.610000000000000E+009	1.900983154773712E-001	-5.840157270431519E-001	
3.632500000000000E+009	1.884418725967407E-001	-5.921543836593628E-001	
3.655000000000000E+009	1.953831613063812E-001	-5.937535166740418E-001	
3.677500000000000E+009	1.867301464080811E-001	-5.959051847457886E-001	
3.700000000000000E+009	1.879678219556809E-001	-6.085648536682129E-001	
3.722500000000000E+009	1.872500479221344E-001	-6.094638705253601E-001	
3.745000000000000E+009	1.780881136655808E-001	-6.150275468826294E-001	
3.767500000000000E+009	1.785310953855515E-001	-6.303490400314331E-001	
3.790000000000000E+009	1.795293688774109E-001	-6.320058107376099E-001	
3.812500000000000E+009	1.573190540075302E-001	-6.374787688255310E-001	
3.835000000000000E+009	1.611324548721314E-001	-6.482349038124085E-001	
3.857500000000000E+009	1.554867625236511E-001	-6.536850929260254E-001	
3.880000000000000E+009	1.353209316730499E-001	-6.611236333847046E-001	
3.902500000000000E+009	1.393432319164276E-001	-6.725193858146668E-001	
3.925000000000000E+009	1.254727095365524E-001	-6.727913618087769E-001	
